ID,Start time,Completion time,How often do you typically attend Sunday worship services?,"Beyond Sunday worship, in which PHCRC ministries or groups do you regularly participate?",Please describe what you most appreciate about PHCRC's worship services.,"What changes or additions, if any, would you suggest for our worship services to enhance your spiritual experience?",Do you feel the current blend of traditional and occasional contemporary music in our services effectively meets your spiritual needs? Please explain.,What proportion of traditional vs. contemporary music would you ideally prefer in our worship services? Consider 1 as totally traditional and 5 totally contemporary.,How would you describe the current level of member involvement in planning and participating in liturgy/worship? Consider 1 as no involvement at all and 5 as too much.,"Are there ways you would like to see more members, or new members, involved in worship leadership, music, or technology?",Which of our current discipleship programs have you or your family members found most beneficial? (max of 3),What new or expanded ministries for spiritual growth would you like to see for yourself or other age groups within the church?,"How can PHCRC better foster a sense of belonging for members, especially those who may struggle with commitment beyond Sunday mornings?","How well do you believe PHCRC is currently living out its mission statement: ""EQUIPPING DISCIPLES TO BECOME NEIGHBORS; INVITING NEIGHBORS TO BECOME DISCIPLES""? Please provide examples.","What are your thoughts on our current community outreach efforts (e.g., community nights, GEMS/Cadets, prayer walks, food pantry, Family Promise)? ",What new or expanded community outreach initiatives would you like to see PHCRC pursue?,"Do you feel our missional focus is adequately balanced between ""local and global"" efforts? Consider 1 as not balanced at all and 5 totally balanced.","In what ways do you believe PHCRC is effectively responding to ""compassion, mercy, and justice needs""? ","What additional actions, either church-based or personal, could we take to address these needs in our community and beyond?","From your perspective, what are PHCRC's greatest strengths or gifts as a church today? ","Thinking about PHCRC's challenges with welcoming new members, bridging age gaps, and embracing diverse families and backgrounds, which of the following best reflects your perception?","Which of the cultural challenges listed below do you feel are most pressing for PHCRC, and how can a new pastor help us navigate them?","What does being ""Christians of Reformed accent"" mean to you personally, and how do you see this reflected in our church life?",What is your perspective on PHCRC's relationship with the Christian Reformed denomination today?,"What are the most important goals or opportunities you envision for PHCRC in the next 3-5 years? (Consider the stated goals: expanding kids/youth, expanding diversity, growing community outreach).","Beyond the general responsibilities of a Minister of Worship and Leadership, what specific gifts, skills, or personal characteristics are most important to you in our next pastor? (Consider how th...",How do you prefer to see leadership shared between lay leaders and pastoral staff in our church?,"If you could identify one or two top priorities for our new pastor to focus on in their first year, what would they be? (e.g., fostering belonging, enhancing diversity, strengthening youth program..."
11,11/15/25 14:20:33,11/15/25 14:49:42,Weekly,"Adult Book Studies: Guys Group, Ladies' Bible Study;",the preaching of the gospel,none,"I would prefer a bit more of the traditional and a bit less of the contemporary, but not much different from now",3,4,about at the current level,,,No suggestions,no comment,Continue current efforts,no suggestions,4,"pastoral calls, elder contacts are reliably carried out
bulletin announcements inform the congregation of needs for prayer reliably",no suggestions,Worship services;Community presence;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,"Nurturing young people to join, participate, and grow into lifelong, active church members ;Recognizing and understanding the issues surrounding gender identification and non-traditional relationships;","The understanding of ""reformed and reforming"" and accepting its primary tenets has been a valuable and important of my life",no comment,I would like to see a somewhat greater tolerance of a diversity of views on current issues regarding human sexuality,A willingness to learn and keep on learning,About the same as the current level,becoming acquainted with all congregation members on a personal level
12,11/15/25 16:10:45,11/15/25 16:36:21,Weekly,have led a variety of Bible studies;Community Nights;,Has no character,Less emphasis on participants,No,2,4,None,,,"Members need help in understanding what we believe and how the church is governs itself on all levels.
Regular report council/elder/deacon decisions. Right now we get precious little",Don't know.,I haven't heard of prayer walks.,,2,Fair,"Membership as a whole cannot express what it means to a church. This based on a large gathering we had when Steve was still here and various members of the consistory answered this question. Most answers were: PHCRC is a good community; nice to get together, etc. Preaching mentioned obliquely. Teaching, thus, was low on the ""good"" register. ","Too much emphasis on diversity, not enough on what unites us doctrinally. ;",What are diverse families? Question unclear.;,Societal expectations and pressures;,A confessing member cannot have a personal view. At profession of faith we promise to believe what the CRC as a whole teaches.,Depends on age of the members. Some younger members are more committed. Others have historical ties but not much in the way commitment to the teaching of the denomination.,Over the last several decades churches that emphasize traditional Christian teaching have grown. Younger generations are increasingly going to Eastern Orthodox and Roman Catholic churches. Reason: Orderliness and depth of liturgy. Not giving in to cultural pressures.,The main task of that calling is preaching and teaching,Elders and deacons are not lay leaders. ,Preaching and teaching (especially young people)
13,11/15/25 17:29:19,11/15/25 17:59:16,Weekly,Friendship Group;,"Good mix of music, no heavy band,, meet and greet",More use of Power Point and technology ,Yes. Great blend,3,1,,Friendship Group;,Mission trip,Ask more involvement for Sunday. ,I think we are doing a good job considering our circumstances. ,We can do more however we must start in small ways instead of jumping into something that we bigger and failing because of the size. ,Need to think ,3,With the ministries we currently have. ,Need more members and willingness to get involved ,Worship services;Community presence;Youth program ministries;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,"Nurturing young people to join, participate, and grow into lifelong, active church members ;",Being part of a bigger supportive organization.  The CRC is resource for us as we explore a new minister. ,At times they are not very involved with our church. I appreciate the CRC position on the HSR. ,Bringing younger and new families and couples into the church. Rebuilding for sustainability. ,"Younger, bold with new ideas, relationship builder. ",Need a good mix of lay participation. ,Focus on young families and their opportunities at PH. 
14,11/15/25 16:24:41,11/15/25 17:59:40,Weekly,"Small Groups: Equip Group, Oasis Group;",Overall worship,"
Also it would add to the service say once a month to recite one of the two creeds.
I am also in favor that the sermons refer to the Heidelberg Catechism occasionally",I would appreciate more traditional songs along with the contemporary music.,3,4,Only if that person is comfortable in being involved ,Get together with seniors ;,N0 comment,No comment,As a recently new member (1year) I see we are living the mission statement.,We are living our mission statement,No comment,4,Pastor Sarah and elders have shown compassion to our needs since we became members.our,Our church does a great job through our food pantry program,Leadership;Community presence;,"The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;We have noticeable age gaps in our community, and we're missing voices from younger and older generations.;We welcome people warmly, but new members often don't feel they truly belong or become integrated into the congregation.;We struggle with including diverse family structures, alternative lifestyles, and people from different ethnicities and cultural backgrounds.;","Busy lives/competing priorities ;Societal expectations and pressures;Nurturing young people to join, participate, and grow into lifelong, active church members ;Recognizing and understanding the issues surrounding gender identification and non-traditional relationships;Bringing in, welcoming, and committing to the inclusion of community members into church life;","Christian Reformed accent means following our forefathers heritage.  
Christian Education is a priority. Preaching of the Word is a necessity.
Preaching the Heidelberg Catechism is falling by the wayside side.",I follow the traditional teaching and try not to bend the teaching of scripture ,To be Mission Church and be an example of JESUS in all our goals and activities.,"To be Mission minded, being able to relate to young and old.",As the saying goes “ Many hands make light work. it has to be a united effort.,First the pastor needs to learn the names of the people he/she shepherds. Then fostering belonging. Not be afraid to delegate certain responsibilities.
15,11/15/25 20:53:19,11/15/25 21:12:21,Weekly,"Adult Book Studies: Guys Group, Ladies' Bible Study;Community Nights;","Biblical preaching, good litergy , good music",None,Yes. The music is well planned for an integrative process ,2,3,Not really,Book Clubs;,,Not sure,I think coffee time after church on Sunday mornings is effective,No thoughts,,4,Food pantry for one,More emphasis on the members first,Worship services;Youth program ministries;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,"Nurturing young people to join, participate, and grow into lifelong, active church members ;Busy lives/competing priorities ;",Good Biblical preaching,It is wish-washy!  The council should lead and make a definitive stance and make it known to the congregation. ,"We need to build the base before we worry about “expanding”
Minister to the people here",Preach from the heart,Not important to me ,"Biblical preaching
Feeding the flock so they can reach out to the community "
16,11/15/25 21:46:13,11/15/25 22:37:19,Weekly,"Small Groups: Equip Group, Oasis Group;Adult Book Studies: Guys Group, Ladies' Bible Study;","Addition of guitars and more piano in music. Sermon content from Pastor Ben, Pastor Sarah and now Pastor Stan.","Music reflects too much the church of the past.  Music should be more engaging; incorporating more contemporary Christian hymns and music (Sing a new song to the Lord).  Less organ and trumpet.  
Training for lay worship leaders - singers to not sing to the podium/song sheets in front of them but to truly lead the congregation in worship through the song, sound system on balance and sound levels, when the drums are appropriate and not appropriate.
Give congregational members an opportunity to volunteer to read scripture, play piano, pray, children's message etc. Send out a sign up sheet with various roles in worship and have members indicate which they are willing to do.
Have the congregational pray-er also pray for the offering cause. 
Say the benediction from Numbers 6: 24-26.  Can add additional words/thoughts after, but please include the blessing of God's benediction to His people.","There is too much formal, traditional hymnody. More contemporary please!  We want to be a church for the future, not a church of/for the past.",4,2,"Yes!  Send a sign up sheet so attendees can indicate where/how they can serve.  Then train them to a similar standard.  Less organ, more piano.",Small Groups;Book Clubs;,,"When people join the church, deacons should visit them and part of the conversation should be to explore where new folks would like to use their gifts.  This should be revisited on an occasional basis.  Involvement fosters belonging.
PHCRC did this fairly well for us with invitations to join groups/ministries soon into our initial attendance. ",PHCRC does a fairly good job of living out the mission statement. Sermons contain practical content for living out faith. We were invited to participate in several aspects of ministry. PHCRC has a strong reputation in the neighborhood.,"Food Pantry addresses basic needs, Friendship and Stitch ministry promote fellowship, summer events in the parking lot are engaging to the community. I'm not sure if communication is primarily word of mouth or if this could be improved upon.",Not sure,5,"Who the church chooses to support speaks to this.  Also, the revival of the Safe Church policies and practices.",Has the church thought about becoming or hosting a day care site? There's such a need.,Value for diversity;Worship services;Small groups;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;We have noticeable age gaps in the church - we need to focus on youth-40 year olds.;,"Nurturing young people to join, participate, and grow into lifelong, active church members ;","Love the catechism, God-focus and directed, we live in grateful response. 
PHCRC goes out of its way to welcome people with differing abilities and socio-economic backgrounds, reflecting their emphasis on living in grateful response to God.",I appreciate that PHCRC chose to remain with the denomination.,Need to study churches that are thriving to learn if there are practices or strategies we may be able to incorporate at PHCRC to support the continued growth and vitality of the church and its members. ,Thoughtful sermons. Effective use of technology/screens during sermons. Relatability to youth. Administrative skills for church operation.,There seems to be a good balance at this time. Good communication is essential.  ,"First year - focus on sermons, visit all ministries, meet all congregation members, get to know community.
At the end of first year, bring proposal to council on where to focus the church's time and attention in order  best equip disciples and invite neighbors."
17,11/16/25 11:22:14,11/16/25 11:47:26,Weekly,Community Nights;,"Liturgy, sermon, communion, fellowship time",Some modern praise songs,More contemporary than what’s currently like,3,1,Can we please bring back the adult choir? I was part of it before Covid and it would be something I want to participate. I had asked Doug multiple times before. I miss seeing other people and it was deeply formative to me. Doug put me in bell choir which I did not quite enjoy.,GEMS;Cadets;Youth Groups;,Adult choir,Adult choir,I know families who stopped coming and there could be more outreach to old members.,These are all wonderful and we have been part of them.,Youth activities,2,"The social justice part is not as strong. Other than donations, there can be more activities supporting local justice initiatives.",Can we bring back the short term mission that was also non pause since Covid?,Leadership;Worship services;,I don’t have knowledge about how new members feel;,"Nurturing young people to join, participate, and grow into lifelong, active church members ;Bringing in, welcoming, and committing to the inclusion of community members into church life;",Honestly I love Plymouth but am no longer identifying with the official CRC affiliation any more since it’s heavy handed synod decisions. ,"I know that leadership in Plymouth are really kind people, and the culture of this church has been welcoming, not excluding. I don’t think that’s the dominant posture in CRC now. ","Youth activities, social justice outreach ",Long-term commitment to this local congregation because Pastor Ben did not show that type of commitment. A pastor should not just treat this as a job that they can switch from based on petty things. Ben also lacked appreciation of people and their gifts in this congregation. These are qualities that are hard to evaluate but they are important given the journey of Plymouth. I also wonder why not letting Pastor Sarah to be the main pastor and hire another pastor to support Pastor Sarah.,There’s a great way of sharing leadership responsibilities among lay and staff members.,"Youth programs, relationship building within households "
18,11/16/25 13:51:26,11/16/25 14:13:40,Seasonal,"coffee fellowship, counting committee ;",I love how the worship services flows and all that is involved with it.   I love seeing the little kids in the front and I love seeing the older kids involved.   I like the worship style.    ,I love to see power points with the sermon.  It keeps me on track.   I would like more variety with the songs and I would love to sing some of the old hymns.   ,I feel like we could do better with the music.   Sometimes it feels like we get into a rut and also we sing songs that are hard to sing,3,4,I like to hear others read the scriptures,GEMS;Mobile Food Pantry;Choristers;,can't think of anything right now,Life is busy so it is hard to get people together other than on a Sunday but maybe doing more with our household groups.    ,"I think they are doing very well with mobile food pantry, activities in the summer, gems and cadets where there are non member kids coming.",I think they are all awesome.    Our church really reaches out to the community.,I think Plymouth Heights missed out with not having Eastminister Preschool be a part of our church.   There would of been a lot of outreach there.,4,They do an excellent job with this especially with the friendship group,I think we are doing a job that we all can handle to do,Leadership;Value for diversity;Worship services;Community presence;Youth program ministries;,"We have noticeable age gaps in our community, and we're missing voices from younger and older generations.;The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;","Busy lives/competing priorities ;Bringing in, welcoming, and committing to the inclusion of community members into church life;Nurturing young people to join, participate, and grow into lifelong, active church members ;",I feel like I lean towards the more conservative Christian Reformed faith and I feel like our church follows that too which I like.   That is how I was brought up and continue today,I feel like we are not very happy with the Christian Reformed denomination right now.   ,Reaching out to younger families and praying they want to be a member of our church.  I think we do a lot with community outreach,I would love a minister that is a great preacher and is easy to follow along with.  I enjoy a preacher that prays a beautiful prayer and I would love a minister that interacts with everyone in the church from the smallest to the oldest.    We need to attract the younger generation,I love it when they all work together and not just one person leading everything,Getting to really know the congregation in his or her first year and engaging in every aspect of our church from Sunday to Wednesday night to food pantry.   I would love a hands on minister with great preaching skills.
19,11/16/25 16:58:19,11/16/25 17:30:35,Weekly,"currently only Sunday, before choir/ bells/ sunday night grow group;","Solid preaching, good traditional music, congregational singing mostly from Lift up  hymnal. ",occasional use of denominational forms for communion and baptism.  the reading of the law and confessions. Preaching based on the Heidelburg catechism. ,yes,2,2,not sure how this would work.  We used to have a member committee that worked on liturgy then disbanded when Doug did most of it. ,would like to have a choir again. ;,,not sure,reasonably well,We miss the opportunity to help with Family Promise,,3,,dont know,Worship services;Community presence;,"We struggle with including diverse family structures, alternative lifestyles, and people from different ethnicities and cultural backgrounds.;","Busy lives/competing priorities ;Nurturing young people to join, participate, and grow into lifelong, active church members ;","commitment to the doctrinal standards, raising and educating committed Christians to serve each other and our neighbors. ",I want to stay as CRC but will not be able to  re-sign the Form of Subscription. I hope that the denomination will realize that the hard stand was a mistake. ,"Continue making this a good place for families to belong. 
I am hopeful that God will send us a pastor with excellent preaching ability as well as a heart for the church. ","As a minister's child, I know that no minister can be all things to all people. So I pray for a minister  who truly loves the Lord and tries to serve Him and His church. In my mind the most important is excellent preaching. ","The pastor should encourage the elders and deacons to be more proactive in contact with their household. But the pastor should do family visiting at least once every two years. I believe the pastor needs to be more involved in the catechism teaching than has been happening lately. 
Other than that ,offer leadership but not ""run"" the outreach programs. ",Fostering belonging and strengthening youth education and programs. 
20,11/16/25 17:12:09,11/16/25 18:03:04,Weekly,None of them. I only attend Sunday worship.;,"I appreciate the music program, particularly the instrumental music and the organ playing.",More frequent reading of the law and the Heidelberg catechism.,"I most enjoy the traditional / classical music but I understand that there are others who prefer contemporary music. I really need the music scores on the screen, not just words.",2,3,Current usage is fine with me.,Friendship Group;Mobile Food Pantry;Cadets;,None come to mind.,"Make a clear invitation for questions or discussions, perhaps in a quiet environment after worship.",It’s hard to answer because are we not all neighbors and all disciples? Perhaps I don’t properly understand the definitions of the two terms.,It has been a while since I have been personally involved in these efforts but from observing them I am impressed by our gems/cadets program and the food pantry.,Don’t know.,3,Friendship program. Diaconal support for needy persons and programs that are not commonly advertised - and shouldn’t be.,Don’t know.,Community presence;Value for diversity;,"We struggle with including diverse family structures, alternative lifestyles, and people from different ethnicities and cultural backgrounds.;","Nurturing young people to join, participate, and grow into lifelong, active church members ;Recognizing and understanding the issues surrounding gender identification and non-traditional relationships;",I have never heard of the phrase.,We are a member in good standing but have never been challenged by same sex marriage issues and have no idea how to minister to same sex partners.,1. Maintaining a reformed orientation. 2.Expanding diversity.,We need a teacher - someone to show us what it means to be Christian with a Reformed perspective.,Church policy must come from the council. Worship activities should be shared by lay persons.,Be an approachable person.  Be a skilled and biblical preacher.
21,11/16/25 19:07:23,11/16/25 20:12:36,Weekly,"Adult Book Studies: Guys Group, Ladies' Bible Study;Community Nights;","Being with familiar and friendly people
Good music
","Maybe more teaching from the creeds -- show why or what is the basis for our beliefs..
Maybe a topic for a month and then ""regular"" sermons on that topic.","It's good to learn some contemporary music -- but i can't remember a hymn that I sang as a young person being used (one that is still in our newest psalter. )
But I really have no other place to learn what young people sing these days.  (Maybe I don't want to know!) ",3,3,"technology, yes.  But worship should be supervised by our pastors/leaders if others do suggest/lead/take part.  Scripture readers need to be coached and practiced with so they can be understood, and so God's Word is respected. ",Friendship Group;Mobile Food Pantry;Seasonal Choir;,continued info on how the programs operate -- eg. what is the process each time for the food distribution. I'm sure it is a lot of work - but what is done each time to make it work? - and for how many families?,"Name tags are great -- continue to encourage those for EVERYONE. We need to be aware to speak to lots of different people (familiar and new) before and after church -- just saying ""Glad you're here.""",Don't know,"Only know food pantry -
No more Family Promise, except thru food offerings -- that's great.",Good question,2,"We give offerings, but most of us don't know what is done -- and can we know and still maintain privacy. Maybe a generic report -- like X people came to church asking for help this month - or we gave out X food bags, etc. ",no knowledge,Worship services;Community presence;,"The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;We have noticeable age gaps in our community, and we're missing voices from younger and older generations.;It's the middle ages we are missing -- parents of teenagers.;","Nurturing young people to join, participate, and grow into lifelong, active church members ;We have many older members - Challenge to have meaningful programs for them and also gear to the younger generation, which is the new life of the church;","I'd like to be reminded (at least at Reformation time) of what was the basis and point to Luther/Calvin's teaching as to what a church should be - in contrast to others.  
I recently heard a Greek Orthodox man describe services at his church -- enter by kissing pictures/statues of saints, stand up during 2-hour sermon, take communion from priest all on the same spoon (God will protect!) --
I could so much appreciate what we believe --
   but so good to be reminded!","There's the quandary!  Should we have been more lenient  and allow diverse practices, opinions --
Or have we held to God's high standards for sex and marriage?

I'm glad we did what we did -- but others understand it differently -- Love??","I think we saw with previous pastor that good, strong preaching and personable pastor family builds the existing congregation --
and draws others in, too.
We thought we had this and were happy -- but  .  .  .  .  .   ","A ""sort-of"" youngish and energetic pastor may be attractive to outsiders (and Us!).  Both our previous pastors have had a good rapport with the Friendship members, which is a good example.  And personable. 

Thought-producing, relevant sermons are good for everyone -- current examples, books or movies to suggest. ","Accept/solicit ideas from lay leaders, but pastor staff should set tone and, hopefully have and seek new ideas to stimulate the church. ","I think fostering belonging and a level of excitement are vital. -- Give a renewed sense that Plymouth has an exciting future and we are important to making this church alive to honor God and give others the good news that Jesus is alive, died for them, and loves them."
22,11/16/25 20:01:42,11/16/25 20:13:05,Seasonal,None of them. I only attend Sunday worship.;,Blended music,Nothing,Yes,2,3,Music so we could have a choir,Seasonal Choir;Small Groups;,Senior groups,Household elder contact,Very well,Good effort but community nights are not always well attended by neighbors,None that I know of,3,Through Friendship program,"No idea, since I am pastoring another church st the moment.",Worship services;Leadership;,That depends on your definition of diversity. ;,"Nurturing young people to join, participate, and grow into lifelong, active church members ;",In the preaching.,Good,Attracting more young families and finding younger adults to serve as elders,Get along with staff!!!,Small groups meeting with agendas designed by pastor.,Getting along with staff!
23,11/16/25 19:54:26,11/16/25 22:11:51,Weekly,"Adult Book Studies: Guys Group, Ladies' Bible Study;","The music and sermon delivery that can be applied to everyday life.
",Continued music delivery using songs that promote and emote enthusiasm . Perhaps occasionally a gospel song from the past that is well known and promotes great singing.,Contemporary music doesn’t do much for me. Often to repetitive and without the meaningful content of more traditional songs.,2,3,I think we have an excellent balance currently. To much member involvement detracts from the meaningfulness and spirituality of the service. Our current praise group is fine. We do not need more or louder.,Friendship Group;Small Groups;Men’s Bible study.;,I think for a church our size we have as many ministries as we can staff now.,"We provide opportunities, people have to want to join.",Hard to know what other members do. I tell new neighbors about our church. Many belong to the Catholic Church. Perhaps we should have a new mission statement. In todays world it is more difficult to get people interested in even visiting your church.,I think for a church our size we are doing the best we are able to do.,None at this time. When you look at the age makeup of our church we have to accept the fact that many people just do not have the stamina physically and mentally to do more. We cannot expect more from those who are already giving so much. That will discourage and cause people to leave. (We can hardly staff our nursery needs now.),3,"Special collections to local causes and continuing to meet benevolence requests. Also, elder and deacon involvement in their districts.",Nothing at this time.,Worship services;Community presence;Youth program ministries;Value for diversity;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,"Busy lives/competing priorities ;Nurturing young people to join, participate, and grow into lifelong, active church members ;Recognizing and understanding the issues surrounding gender identification and non-traditional relationships;","Our faith is biblically based, we know God is a sovereign God, that we are not our own but belong totally to him as that catechism teaches us.","At this time we are aligned with the denomination, however; I struggle with synods decision on the HSR stance. We certainly cannot sing “All Are Welcome” and mean it.",Certainly the stated goals are the most important. At the same time we have to be realistic enough to know that our church is not going to compete with mega church youth programs and in most cases people are going to worship where they feel most comfortable from a culture and worship style perspective.,We need a pastor who is GENUINE in caring for caring for the people on his congregation and is able to deliver sermons that people can apply to their everyday life. He should have the flexibility and patience too work with staff he is to administer. Beyond that he should be able to encourage and convince church members .to be involved.,I think we have a good balance currently. Again as I said earlier. The more lay person leadership attempted in a worship service detracts. Especially praise groups. We do it perfectly now.,"Fostering belonging, youth group involvement would be good, however ; true concern for his members will generate a very strong bond from the beginning."
24,11/16/25 19:47:41,11/16/25 22:17:30,Weekly,"Adult Book Studies: Guys Group, Ladies' Bible Study;","Preaching of God’s word that both challenges and inspires.
Music that coordinates with the theme of the service. 
Diversity of the congregation: ages, cultures, and participation of these. 
Use of LIFT UP YOUR HEARTS, and noting in the bulletin these songs in the bulletin. ","Merely a suggestion: Assign volunteer greeters, who are not on council, at the top of the steps to meet worshipers (and guests) as they arrive. This would free up 2 elders to meet worshipers at the side aisles as they exit. Just another form of hospitality. ",Yes. Traditional music feeds into what I already know and have worshipped with all my life. But I’m not at all opposed to learning and experiencing new music.,3,3,"If more are needed to be involved, sure…as long as there is talent and ability in these areas, use it!  Young people especially, yet in school are very adept with technology.",Bible study;,I lead a Bible Study that takes a considerable amt of time. It appears there are many choices available for those seeking service or involvement. ,I don’t have an answer. One cannot “twist arms” or use other measures that can turn members away. There are sooo many ways to contribute to the health of a church body and if a member is not inclined to take advantage of these…or to SERVE…how can that be forced?,"Encouraging members to live out the command to love your neighbor as yourself…whether it be within or outside of the church family. Reaching out to church visitors, members who have trouble attending regularly, etc. ",Positive ,"I encourage strong support of the programs we already have. With a congregation that is struggling with size, to add more, dilutes the programs we have and burns out the present volunteers.",5,"Some of our programs have an obvious emphasis of compassion, mercy and justice. ",Perhaps unite with another geographically close church to combine efforts?,Community presence;Worship services;Value for diversity;Leadership;Youth program ministries;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,"Busy lives/competing priorities ;Bringing in, welcoming, and committing to the inclusion of community members into church life;Nurturing young people to join, participate, and grow into lifelong, active church members ;Recognizing and understanding the issues surrounding gender identification and non-traditional relationships;","I belong to a church that follows a reformed tradition that believes God is sovereign, the Bible is God’s Word, salvation is by faith alone…
This is certainly the basis for our church life…without question!","Whether or not all members are in agreement on all issues, PHCRC is a church of the CRC denomination. ",Attracting young families so that our kids/youth programs can expand. There are just soooo many activities outside of the church that seem to command and demand the time and attn of parents and their kids. And the activity that is top of the short list is sports. ,"Strong preaching. Participation in activities that include the most people, making the pastor visible outside of the office. Admin leadership should also be strong but not heavy handed. ",Equally…each using and sharing the GIFTS and TALENT they have for whatever job/role/task to be done. ,"MOST important because it affects the most people—a positive, effective pulpit presentation. That alone can have positive influence on most other areas that need focusing. A pastor who truly loves the Lord, as is visible in desire to serve the congregation, can be infectious in members. "
25,11/16/25 23:48:49,11/17/25 0:13:00,Seasonal,Friendship Group;,Preaching ,"No changes
","A little more contemporary to appeal to younger worshippers.
",4,4,Current participation is fine.,Friendship Group;Mobile Food Pantry;,Current mix is adequate.,Personal invitation from active members to participate.,The various programs we currently have provide good opportunities. ,Adequate.,"Focus, first of all on more participation in current programs.",5,Current programs provide many opportunities.,Promote current programs.,Value for diversity;Worship services;,"We welcome people warmly, but new members often don't feel they truly belong or become integrated into the congregation.;",Busy lives/competing priorities ;,Strong preaching that directs the listener to put faith into action.,Middle of the road ,Overall growth with emphasis on the young.,Strong leadership skills along with people skills.,The current mix seems right ,Getting to know the people well.
26,11/17/25 9:12:40,11/17/25 9:32:24,Weekly,"Adult Book Studies: Guys Group, Ladies' Bible Study;Dwell, Gems, Cadets, or other youth programs;Community Nights;",The singers and musicians up front leading us in worship. ,Including more modern praise and worship style songs.,"I would prefer to shift the blend a bit more towards contemporary music, but I do still enjoy having some traditional music.",4,3,,Dwell;Cadets;Guys Bible / Book Group;,,"We recently had a household meal after church and it seemed to be well attended and it was a good time of fellowship. Perhaps more of those smaller group meals in addition to the full community meals, which are also great.","With the food pantry, community nights and other ministries, I believe we are doing well at living out the mission of PHCRC.","Our family participates in all of them that are geared towards kids and enjoy them very much. They are well done, inclusive to all, and lots of fun!",,3,"Food pantry, family promise, benevolence and the many ""drives"" we organize to collect things to donate to other organizations.",Continue to partner with other organizations in our community that have specific needs in order to fulfill their missions.,Community presence;,"We have noticeable age gaps in our community, and we're missing voices from younger and older generations.;",Busy lives/competing priorities ;,That we follow the teachings of Jesus and are preparing the way for his Kingdom. I believe that PHCRC reflects this through our worship and our involvement in the community.,"It feels tenuous to right now. There are many worthwhile missions within the Christian Reformed denomination that we support, but it feels we are not fully onboard with the HSR, but we are still supporting the CRC in other areas (a stance I agree with).",Expanding kids / youth and finding ways to get the families who participate in Wednesday night activities to also participate in Sunday activities.,"Personable and able to reach members of the congregation in informal settings, not just in the building on Sunday.","Pastoral staff should take on most of the leadership responsibilities of the church, but be open to conversation and feedback from the congregation through the council. It should be a partnership between council and pastoral staff, but the pastoral staff has final say and the directive to get buy-in from members.",Fostering belonging and setting a clear direction for youth programs going forward so that we can have stability.
27,11/17/25 8:46:35,11/17/25 9:57:52,Weekly,"Small Groups: Equip Group, Oasis Group;Mobile Food Pantry;","The obvious love of the Lord by how lovingly arrivals to worship are greeted.
The thoughtful way the service is planned with prayers, songs, and message cohesivly presented 
How the congregation participates in the service.
These all help to show we not only have love for each other, we really like each other!","I realy miss n ot praying for the peace of Jerusalem as we are encouraged to do in Scripture. I'm also puzzled why we have not mentioned in our prayers the country our denomination has for years loved, nurtured, and called our family, now that they are in great distress of persecution..,.Nigeria..
I feel we are being shamed or threatened by the saddest of reasons...politics.
This could be healed by more intentionally praying for our government. A practice blessed by our Lord .","I understand it and am trying to remember it when my preferences are not on the agenda.
The music should honestly convey God honoring music , rather than choosing songs trying to balance people's likes or dislikes.",2,3,You folks are doing a great job. You seem to have a wisdom for matching people to their gifts and abilities.,Small Groups;,Offering rides to those unable to do so  is one of my personal requests.,Pray for each other.,I am poorly equipped to respond helpfully ,Encouragement in the form of teaching how to do so would be so good ,,3,"Do we know how Jesus would have us do this?
Making it available and telling us we should is only the first step.","I would love to pray for the aims and plans but I cannot do so in person.
I need a ride.",Worship services;,Maybe our focus isn't on the issues mentioned. They may be fulfilled if we know and do God's will for us as a congregation. It sound simplistic. Jesus was very simple in his aims and actions ;,Busy lives/competing priorities ;Societal expectations and pressures;,Knowing and doing God's will as stated in Scripture.,Stay in community with God appointed relationship. Separating and refusing to uphold God's will is a serious sin against our Lord who gave His life to make us one in Him .,#ee the book of Acts,Understand what God is doing with Plymouth Heights and having God centered ideas on how to grow those seeds ,In respectful and Godly cooperation,Do God's will and encourage us to do the same 
